from,to,share
EP215,E100000001354,100.0
EP216,E100000001354,100.0
EP217,E100000001354,100.0
EP218,E100000001354,100.0
EP219,E100000001354,100.0
EP220,E100000001354,100.0
EP221,E100000001354,100.0
EP222,E100000001354,100.0
EP223,E100001000754,100.0
EP224,,
EP225,E100000134079,10.0
EP225,E100000001776,10.0
EP225,E100000000882,60.0
EP225,E100000000651,30.0
EP226,E100000134079,10.0
EP226,E100000001776,10.0
EP226,E100000000882,60.0
EP226,E100000000651,30.0
EP227,E100001013723,
EP228,E100001012029,
EP229,E100000002125,100.0
EP230,E100000002125,100.0
EP231,E100000002125,100.0
EP232,E100000002125,100.0
EP233,E100000001375,100.0
EP234,E100000003741,100.0
EP235,E100000002413,100.0
EP236,E100000002413,100.0
EP237,E100000002507,100.0
EP238,E100000002507,100.0
EP239,E100000002507,100.0
EP240,E100000002507,100.0
EP241,E100000002507,100.0
EP242,E100000002507,100.0
EP243,E100000002507,100.0
EP244,E100000002507,100.0
EP245,E100000002347,100.0
EP246,E100000002124,100.0
EP247,E100000002124,100.0
EP248,E100000002124,100.0
EP249,E100000002124,100.0
EP250,E100000000571,100.0
EP251,E100000002423,100.0
EP252,E100000002424,100.0
EP253,E100000121497,
EP254,E100000121497,
EP255,E100001011739,100.0
EP256,E100000003212,100.0
EP257,E100000002356,100.0
EP258,E100001000334,100.0
EP259,E100001000334,100.0
EP260,E100001000334,100.0
EP261,E100001000334,100.0
EP262,E100001000334,100.0
EP263,E100001000334,100.0
EP264,E100001000334,100.0
EP265,E100001000334,100.0
EP266,E100001000334,100.0
EP267,E100000002611,100.0
EP268,E100000002611,100.0
EP269,E100000002147,100.0
EP270,E100000002143,100.0
EP271,E100000002147,100.0
EP272,E100000002147,100.0
EP273,E100000001354,100.0
EP274,E100000000476,100.0
EP275,E100000000890,100.0
EP276,E100000000890,100.0
EP277,E100000000890,100.0
EP278,E100000000890,100.0
EP279,E100000000890,100.0
EP280,E100000000890,100.0
EP281,E100000000890,100.0
EP282,E100000000890,100.0
EP283,E100000000890,100.0
EP284,E100000000890,100.0
EP285,E100000001354,100.0
EP286,E100000001354,100.0
EP287,E100000001354,100.0
EP288,E100000001354,100.0
EP289,E100000002001,100.0
EP290,E100000002001,100.0
EP291,E100000002001,100.0
EP292,E100000001354,100.0
EP293,E100000001354,100.0
EP294,E100000001354,100.0
EP295,E100000001354,100.0
EP296,E100000001354,100.0
EP297,E100000001354,100.0
EP298,E100000001354,100.0
EP299,E100000001354,100.0
EP300,E100000001354,100.0
EP301,E100000001354,100.0
EP302,E100000001354,100.0
EP303,E100000001354,100.0
EP304,E100000001354,100.0
EP305,E100000001354,100.0
EP306,E100000001354,100.0
EP307,E100000001354,100.0
EP308,E100000001354,100.0
EP309,E100000001354,100.0
EP310,E100000001354,100.0
EP311,E100000003773,100.0
EP312,E100000003773,100.0
EP313,E100000002093,100.0
EP314,E100000002093,100.0
EP315,E100000002093,100.0
EP316,E100000002093,100.0
EP317,E100000002093,100.0
