Name,gas capacity,coal plant capacity,bioenergy plant capacity,coal mine capacity,steel plant capacity,ID,Entity Type,Legal Entity Type,PubliclyListed,Country
AFP Integra Fondo 2,85991.78979900002,0.0,0.0,0.0,0.0,E100001000906,legal entity,SA,False,Peru
AFP Prima Fondo 2,85991.78979900002,0.0,0.0,0.0,0.0,E100001000907,legal entity,SA,False,Peru
AFP Profuturo Fondo 2,85991.78979900002,0.0,0.0,0.0,0.0,E100001000908,legal entity,SA de CV,False,Mexico
AFV Acciaierie Beltrame,0.0,0.0,0.0,0.0,133479.686,E100001012892,legal entity,SpA,False,Italy
AG Siderurgica Balboa,0.0,0.0,0.0,0.0,130000.0,E100000130794,legal entity,SA,False,Spain
AG der Dillinger Hüttenwerke,9.558316541030399,0.0,0.0,0.0,261.81475742822397,E100000002380,legal entity,AG,False,Germany
AGC,0.0,7500.0,0.0,0.0,0.0,E100000133539,legal entity,Inc,,
AGC Division of APGI,0.0,405.687711,0.0,0.0,0.0,E100001001196,legal entity,Inc,,United States
AGE Enerji,20550.0,0.0,0.0,0.0,0.0,E100000002381,legal entity,,,
AGE Group,20550.0,0.0,0.0,0.0,0.0,E100000001047,legal entity,,,Türkiye
AGL Energy,63.12574764599999,187.15288488,0.0,0.8052904838978999,0.0,E100000000014,legal entity,Ltd,True,Australia
AGL Generation,0.0,0.0,0.0,0.8052904838978999,0.0,E100001010115,legal entity,Pty Ltd,False,Australia
AGL Generation Holdco,0.0,0.0,0.0,0.8052904838978999,0.0,E100001010113,legal entity,Pty Ltd,False,Australia
AGL Loy Yang,0.0,0.0,0.0,0.8052904838978999,0.0,E100001010112,legal entity,Pty Ltd,False,Australia
AGL Macquarie,0.0,102.205417665,0.0,0.0,0.0,E100000120799,legal entity,Pty Ltd,False,Australia
AGL SA Generation,29.837078778,0.0,0.0,0.0,0.0,E100000002382,legal entity,Pty Ltd,False,Australia
AIA Energy North America,10000.0,0.0,0.0,0.0,0.0,E100000001130,legal entity,LLC,,United States
AL Sandersville,69600.0,0.0,0.0,0.0,0.0,E100000002383,legal entity,,,
ALLETE,32583.14,61660.836,5550.92,0.0,0.0,E100000002169,legal entity,Inc,True,United States
ALPA - Aciéries et Laminoirs de Paris,0.0,0.0,0.0,0.0,70000.0,E100001010374,legal entity,SAS,False,France
AM Global Holding,0.0,0.0,0.0,0.0,54.37575,E100001010096,legal entity,SARL,False,Luxembourg
AM Mining India,0.0,6000.0,0.0,0.0,0.0,E100002000119,legal entity,Pvt Ltd,False,India
AM/NS Calvert,0.0,0.0,0.0,0.0,2115.0,E100001010118,legal entity,LLC,False,United States
AM/NS Khopoli,0.0,6000.0,0.0,0.0,0.0,E100000121498,legal entity,Ltd,False,India
AMCI Group,0.0,0.0,0.0,400.043316997048,0.0,E100000131213,arrangement,,,
AMUNDI Asset Management,0.0,5780.594376622801,0.0,2.174543954352,122.54266331999997,E100001016749,legal entity,SAS,False,France
ANP Bellingham Energy,57800.0,0.0,0.0,0.0,0.0,E100000002384,legal entity,Co LLC,,
ANP Blackstone Energy,57800.0,0.0,0.0,0.0,0.0,E100000002385,legal entity,Co LLC,,
AO KMK Tempo,0.0,0.0,0.0,0.0,50000.0,E100000131099,legal entity,,False,Russia
AP Capital,0.0,0.0,0.0,1750.0,0.0,E100001016439,legal entity,JSC,False,Russia
AP Holding,0.0,0.0,0.0,2430.0,0.0,E100001010875,legal entity,JSC,,Russia
AP Mineral Development,0.0,0.0,0.0,600.0,0.0,E100000131214,legal entity,Corp Ltd,,India
AP Trading Enterprise,74.11264,764.24,904.0400000000001,0.0,0.0,E100000126060,legal entity,,,
APR Energy,11030.0,0.0,0.0,0.0,0.0,E100001000235,legal entity,Ltd,,United Kingdom
