from,to,share
E100000004262,E100000001317,100.0
E100000002368,E100001000217,100.0
E100001000217,E100000001305,100.0
E100000002419,E100000000757,100.0
E100000000757,E100001000296,
E100000000757,E100001000297,
E100000000757,E100001000298,
E100000002158,E100001000280,82.0
E100000002158,E100000001753,18.0
E100000001358,E100001000198,100.0
E100000000890,E100000001753,18.8
E100001000322,E100000000888,100.0
E100000000890,E100001000322,6.93
E100000000890,E100000001358,74.31
E100000121469,E100000001830,100.0
E100000001830,E100001010860,12.03
E100000001830,E100001010861,5.5
E100001000316,E100000000608,100.0
E100000000968,E100001000316,70.1
E100000000608,E100001001025,23.59
E100000000608,E100001000348,5.02
E100000000968,E100000001753,29.9
E100000000608,E100001015587,71.18
E100001000754,E100000000382,100.0
E100000000882,E100000001358,44.17
E100000000882,E100000000893,22.75
E100000000882,E100000123261,3.68
E100000000882,E100001015587,29.4
E100000000651,E100001000178,16.17
E100000000651,E100001016127,9.16
E100000000651,E100001015587,68.94
E100000000651,E100001000179,5.73
E100000002125,E100001000283,100.0
E100001000283,E100001000282,100.0
E100000001375,E100000000468,25.0
E100000001375,E100000000470,75.0
E100001000272,E100001000273,100.0
E100001000273,E100001000094,100.0
E100000003741,E100001000272,82.47
E100000002413,E100000000382,45.0
E100000002413,E100000001680,
E100000000675,E100001000209,16.67
E100000001680,E100001000209,100.0
E100000002413,E100000000675,45.0
E100000000675,E100000000777,16.67
E100000000675,E100000000839,16.67
E100000000675,E100001000198,16.67
E100000000675,E100001000210,16.67
E100000000675,E100001000211,16.67
E100000002347,E100001000281,100.0
E100000002423,E100000001133,100.0
E100000001133,E100001014079,9.02
E100000001133,E100001015587,90.98
E100000002424,E100000001133,
E100000121497,E100000120499,
E100001011739,E100001011741,
E100000003212,E100000000382,30.0
E100000003212,E100000003527,40.0
E100000003527,E100000000699,38.45
E100000000657,E100001000178,16.45
E100000000657,E100001000179,5.44
E100000003212,E100000000657,30.0
E100000000699,E100001000368,51.76
E100000003527,E100001010855,11.8
E100000003527,E100001010856,10.23
E100000003527,E100000002008,10.22
E100000003527,E100001000414,9.13
E100001000414,E100001010643,
E100000000699,E100001000413,19.06
E100000000657,E100001015587,68.84
E100000000657,E100001016127,9.27
E100001000334,E100000000552,40.0
E100000000566,E100001000321,100.0
E100000000546,E100000001753,
E100001000321,E100001000255,100.0
E100001000334,E100000000546,60.0
E100000000552,E100001011238,47.6
E100000000552,E100001011239,15.7
E100000000546,E100000000566,
E100000000552,E100001011240,11.0
E100000000552,E100001011241,5.6
E100000002143,E100001000318,100.0
E100000002001,E100001000210,100.0
E100000003773,E100000000664,10.0
E100000003773,E100000000798,5.0
E100000003773,E100000001753,15.0
E100000003773,E100000000797,20.0
E100000003773,E100000000800,10.0
E100000003773,E100000000799,40.0
E100000002093,E100001000198,100.0
E100000002426,E100000001134,100.0
E100000004088,E100000001248,100.0
E100000001248,E100000123261,
E100000002329,E100001000266,100.0
E100000004337,E100000001135,100.0
E100000001951,E100000000547,100.0
E100000000547,E100001000255,100.0
E100000000671,E100001000197,100.0
E100001000408,E100000000671,100.0
E100000003336,E100001000408,100.0
E100000002155,E100000001078,100.0
E100000001078,E100001000333,7.3
E100000001078,E100000001080,90.03
E100000002335,E100000132478,100.0
E100000002002,E100001000210,100.0
E100000003515,E100000000169,34.5
E100000003515,E100000000598,
E100000003515,E100000001585,
E100000002900,E100000000697,100.0
E100000000480,E100000002691,100.0
E100000000697,E100000000480,100.0
E100000002691,E100000000165,100.0
E100000000165,E100001000086,100.0
E100000002345,E100002000137,
E100000002345,E100002000138,
E100000002345,E100002000134,
E100000002345,E100002000135,
