company_id,plant_id,powerplant_unit_id,share
E100000002418,,G100000106922,91.84
E100000001637,L100000400568,,100.0
E100000149126,,G100000927619,100.0
E100000149128,,G100000921092,100.0
E100000121284,,G100000106541,
E100000149223,,G100000911051,100.0
E100000000457,L100001000046,,
E100000157238,,G100000802937,100.0
E100000001607,L100001000070,,
E100001000239,L100000400028,,100.0
E100000003485,L100000104107,,100.0
E100000151695,,G100000924415,100.0
E100001000315,L100001000047,,
E100000157240,,G100000830441,90.0
E100001000016,L100001000015,,
E100000136409,,G100000817968,6.0
E100000000163,L100001000024,,60.0
E100000149129,,G100000927733,100.0
E100000002418,,G100000102959,100.0
E100000157237,,G100000813136,100.0
E100000136408,,G100000817968,76.0
E100000001630,,G100000400290,100.0
E100000149133,,G100000917751,100.0
E100000001586,L100001000033,,
E100000001474,,G100000400329,100.0
E100000132695,L100000103500,,100.0
E100000120884,L100000102584,,100.0
E100001001063,L100000104211,,100.0
E100000121637,L100000100233,,100.0
E100000150460,L100000104013,,100.0
E100000002188,L100000104103,,100.0
E100001001415,,G100000101645,100.0
E100001000641,L100000103852,,100.0
E100000004265,L100000104025,,100.0
E100000003695,L100000104127,,100.0
E100001000622,,G100000108607,35.0
E100001000680,L100000104134,,100.0
E100000002747,,G100000101177,100.0
E100000002842,L100000104071,,100.0
E100000002564,L100000104133,,100.0
E100000003666,L100000103996,,100.0
E100001001403,,G100000108654,10.0
E100000003413,,G100000108608,15.0
E100000001438,L100000407711,,100.0
E100000003027,L100000101981,,100.0
E100000003663,L100000103879,,100.0
E100000000247,,G100000114246,
E100000002747,,G100000101178,93.31
E100000001781,,G100000115100,
E100000003493,L100000103954,,100.0
E100001001285,L100000104118,,100.0
E100000002262,L100000104096,,100.0
E100001000667,L100000103979,,100.0
E100001001226,L100000104051,,100.0
E100000149969,,G100000927131,17.0
E100000132980,L100000201147,,100.0
E100000132473,L100000103827,,100.0
E100000002184,L100000103947,,100.0
E100000002449,,G100000107967,100.0
E100000121060,,G100000107836,
E100000003494,L100000103932,,100.0
E100000003846,,G100000108778,50.0
E100001000845,,G100000115100,
E100000004085,L100000104193,,100.0
E100001001430,L100000104247,,100.0
E100001001214,L100000103961,,100.0
E100000002183,L100000104089,,100.0
E100000002305,,G100000100970,90.0
E100001012281,,G100001001253,
E100000149136,,G100000917384,100.0
E100000149135,,G100000912972,100.0
E100000122421,L100000101075,,100.0
E100000003666,L100000103997,,100.0
E100001012246,,G100001001181,100.0
E100001001190,L100000103851,,100.0
E100000004251,,G100000108778,50.0
E100000132474,L100000104173,,100.0
E100000002838,L100000104084,,100.0
E100001001279,,G100000108654,10.9
E100000138378,,G100001000490,
E100000004306,L100000104233,,100.0
E100000002175,L100000103787,,100.0
E100000003764,,G100000100953,
E100000151164,,G100000901495,51.0
E100001001301,L100000103817,,100.0
E100000149134,,G100000915425,100.0
E100000002279,,G100000108788,11.13
E100000002838,L100000104075,,100.0
E100000002991,,G100000108654,29.75
E100001001273,L100000103897,,100.0
E100000132829,L100000102966,,100.0
E100001011440,L100001000306,,
E100000002329,L100000104185,,100.0
E100000002201,L100000103902,,100.0
E100000002169,,G100000101019,100.0
E100000002263,L100000104063,,100.0
E100000003294,,G100000100970,10.0
E100001000626,L100000103881,,100.0
E100000002842,L100000104074,,100.0
E100000134672,,G100000801617,49.0
E100000003593,,G100000100861,22.7
E100000149133,,G100000913648,100.0
E100000002341,,G100000108130,5.06
E100001001404,,G100000108788,63.87
E100001001396,,G100000108788,25.0
E100000129443,,G100000106230,100.0
E100000003695,L100000104121,,100.0
E100000181144,,G100000905909,40.23
E100001000641,L100000103904,,100.0
E100000001141,,G100000108130,23.26
E100000149133,,G100000915838,100.0
E100000002842,L100000104086,,100.0
E100000132805,L100000102876,,
E100000004306,L100000104232,,100.0
E100001001370,,G100000108130,7.6
E100001001334,,G100000108130,7.82
E100000000339,L100000103759,,100.0
E100001001384,,G100000108130,8.22
E100000002268,,G100000108131,12.64
E100001001324,,G100000108131,15.17
E100000001258,,G100000108131,12.33
E100000001141,,G100000108131,23.26
E100001001370,,G100000108131,7.6
E100001001334,,G100000108131,7.82
E100001001384,,G100000108131,8.22
E100001001343,,G100000108131,5.06
E100001010041,,G100000100840,100.0
E100000148925,,G100000900817,
E100001000641,L100000103903,,100.0
E100000000382,L100000104712,,100.0
E100001001300,L100000104135,,100.0
E100000002449,,G100000107965,100.0
E100000001294,L100000104172,,100.0
E100000000836,L100000407836,,100.0
E100000002229,L100000103856,,100.0
E100000180406,,G100001004214,100.0
E100001001357,,G100000101689,22.22
E100000120465,,G100000114246,
E100000002240,L100000104067,,100.0
E100000181712,,G100000906012,21.11
E100001000796,,G100000101511,70.0
E100001012697,L100001003340,,
E100000001262,L100000104068,,100.0
E100001001228,,G100000101689,22.5
E100001001229,,G100000101690,35.11
E100000121060,,G100000107837,
E100000120465,,G100000114020,
E100000003479,L100000103964,,100.0
E100000002459,,G100000102781,100.0
E100000001615,,G100000111550,100.0
E100000000835,L100000400584,,100.0
E100000001291,L100000103789,,100.0
E100000003319,L100000103907,,100.0
E100000002839,L100000103825,,100.0
E100000120419,,G100000107747,100.0
E100000134673,,G100000801617,51.0
E100000002459,,G100000102782,100.0
E100000002840,L100000103888,,100.0
E100000003304,L100000103883,,100.0
E100000121572,,G100000115145,
E100001000931,L100000100021,,100.0
E100001001263,L100000103908,,100.0
E100001001328,L100000104136,,100.0
E100000000909,,G100000110950,100.0
E100000179302,,G100000905743,100.0
E100000004244,L100000104059,,100.0
E100000001489,L100000400494,,100.0
E100000003765,L100000104281,,100.0
E100001001357,,G100000101690,22.22
E100000003563,,G100000101717,100.0
E100000002459,,G100000102780,100.0
E100000121427,,G100000114205,35.0
E100000181030,,G100000905733,100.0
E100000121172,L100000102401,,100.0
E100000120444,,G100000114889,
E100001001325,L100000103858,,100.0
E100001001261,,G100000101690,16.45
E100000002840,L100000103885,,100.0
E100000120724,,G100000114206,65.0
E100000121060,,G100000107835,
E100000121454,L100000100139,,100.0
E100000002818,L100000104171,,100.0
E100000002295,,G100000102390,5.86
E100000004084,,G100000102390,40.24
E100000002279,,G100000102721,50.0
E100000002340,,G100000101022,20.0
E100000152737,,G100000828666,
E100000121064,,G100000100953,
E100000157241,,G100000830442,10.0
E100000002179,,G100000102722,50.0
E100000002279,,G100000102722,50.0
E100000149179,,G100000916169,100.0
E100000149139,,G100000912569,100.0
E100000002169,,G100000101022,80.0
E100000148926,,G100000900817,
E100000002838,L100000104079,,100.0
E100000001781,,G100000115099,
E100000133263,,G100000919373,100.0
E100000002279,,G100000102723,100.0
E100000149133,,G100000917962,100.0
E100000001753,,G100000901432,1.0
E100000002274,L100000103977,,100.0
E100000000380,L100000406368,,100.0
E100000179742,,G100000904028,100.0
E100000161996,,G100001003798,
E100001001325,L100000103857,,100.0
E100000179685,,G100000921847,100.0
E100000179809,,G100000921872,100.0
E100000000433,L100000103090,,100.0
E100000002179,,G100000102721,50.0
E100000120511,,G100000105526,85.0
E100000184817,,G100001004205,
E100000003845,,G100000101678,100.0
E100000000255,,G100000115024,
E100001012712,L100000914670,,100.0
E100001001229,,G100000101689,35.11
E100000000163,,G100000928132,87.7
E100000179807,,G100000921869,100.0
E100001000845,,G100000115099,
E100000000247,,G100000114248,
E100000000185,,G100000114245,
E100000002274,L100000103976,,100.0
E100000120724,,G100000114205,65.0
E100000000608,,G100000106685,
E100000149443,,G100000912493,100.0
E100000157242,,G100000804379,100.0
E100000002840,L100000103884,,100.0
E100001000845,,G100000107884,
E100000120465,,G100000114248,
E100000133263,,G100000913897,100.0
E100000121572,,G100000115144,
E100000149333,,G100000914420,100.0
E100000002720,,G100000102390,50.0
E100000149518,,G100000915839,100.0
E100000121227,,G100000101511,10.0
E100000120722,,G100000114889,
E100000149138,,G100000915892,100.0
E100000002329,L100000104186,,100.0
E100000000382,,G100000113447,100.0
E100002000300,L100001018437,,
E100000003702,L100001018513,,
E100000004350,L100000406446,,100.0
E100000002449,L100000104239,,100.0
E100000002842,L100000104175,,100.0
E100001001314,L100000103944,,100.0
E100000002418,L100000103781,,100.0
E100000122413,,G100000111199,100.0
E100001010882,L100001000085,,
E100001001319,,G100000103927,98.0
E100000002452,L100000406450,,100.0
E100000002199,L100000104019,,100.0
E100001001327,L100000103819,,100.0
E100000134370,,G100000801194,
E100000180006,,G100000928132,12.3
E100000002239,L100000103978,,100.0
E100000002226,L100000104200,,100.0
E100000133263,,G100000915233,100.0
E100001001303,L100000104147,,100.0
E100000002769,L100000104272,,100.0
E100001011047,L100001000100,,100.0
E100000003765,,G100000103691,24.5
E100000002284,L100000104251,,100.0
E100000001763,L100000406447,,100.0
E100000149150,,G100000913311,100.0
E100000149153,,G100000916157,100.0
E100001012697,,G100001003829,
E100000158529,,G100001001139,
E100000004350,L100000406687,,100.0
E100000003087,L100000406445,,100.0
E100000003093,L100000103838,,100.0
E100000003018,L100000103339,,100.0
E100000002982,,G100000909044,100.0
E100000001763,L100000406442,,100.0
E100000003004,,G100000104814,54.71
E100000149956,,G100000907583,33.0
E100000002452,L100000406448,,100.0
E100000003156,L100000103828,,100.0
E100000003414,L100000103941,,100.0
E100000134835,,G100000827199,100.0
E100000001258,,G100000104814,11.76
E100000002343,L100000104123,,100.0
E100000003005,,G100000104814,18.0
E100001012647,,G100000919338,100.0
E100000150460,,G100000104814,12.0
E100000003093,,G100000102955,50.0
E100000003517,L100000406441,,100.0
E100000149148,,G100000917385,100.0
E100000149154,,G100000916143,100.0
E100001012760,,G100001004206,
E100000149147,,G100000916973,100.0
E100001001317,L100000104034,,100.0
E100000002289,L100000104038,,100.0
E100000001763,L100000408505,,100.0
E100000004350,L100000408504,,100.0
E100000003845,,G100000103691,75.5
E100000003429,L100000104109,,100.0
E100000121759,,G100000108974,100.0
E100000002418,,G100000102956,50.0
E100000003093,,G100000102956,50.0
E100000003087,L100000406440,,100.0
E100000002418,,G100000102957,50.0
E100000001294,L100000104176,,100.0
E100000003093,,G100000102957,50.0
E100000002418,,G100000102958,50.0
E100000003093,,G100000102958,50.0
E100000003343,L100000103311,,100.0
E100000002418,,G100000102955,50.0
E100001012724,,G100001003871,
E100000003563,,G100000102990,100.0
E100000121759,,G100000108969,100.0
E100000121758,,G100000108975,100.0
E100001000485,L100000102612,,100.0
E100000000537,L100000104398,,
E100000150460,,G100000104813,12.0
E100000121442,,G100000102270,100.0
E100000183761,L100001018380,,
E100000003563,,G100000102991,100.0
E100000121758,,G100000108976,100.0
E100001001277,L100000103861,,100.0
E100000121760,,G100000108977,100.0
E100000121760,,G100000108978,100.0
E100000003563,,G100000102992,72.0
E100000121760,,G100000108979,100.0
E100001001319,,G100000103926,98.0
E100001012746,,G100001004190,100.0
E100000149296,,G100000917188,100.0
E100000157918,L100001003361,,
E100000000247,,G100000114020,
E100000003005,,G100000104813,18.0
E100000149841,,G100000907583,57.0
E100000001763,L100000406439,,100.0
E100000001758,L100000406449,,100.0
E100001000666,L100000103786,,100.0
E100001001356,L100000104252,,100.0
E100000003765,,G100000103692,12.6
E100000122698,,G100000110801,100.0
E100000003845,,G100000103692,37.4
E100000001291,,G100000103692,50.0
E100000149719,,G100000805079,100.0
E100000122602,,G100000111088,100.0
E100000155606,L100001018438,,
E100002000322,L100001018462,,
E100000003702,,G100000927644,
E100002000367,,G100000927649,
E100000149296,,G100000913678,100.0
E100000003004,L100000104023,,100.0
E100000003498,L100000104205,,100.0
E100001001358,L100000104257,,100.0
E100000149518,,G100000919903,100.0
E100000002449,L100000104259,,100.0
E100000003087,L100000406462,,100.0
E100000003093,L100000103840,,100.0
E100000003479,L100000103967,,100.0
E100000001763,L100000408503,,100.0
E100001001231,,G100000105687,44.45
E100000002459,,G100000107317,14.0
E100000180162,,G100000905130,15.0
E100000002838,L100000104082,,100.0
E100000003002,L100000103924,,100.0
E100000120610,,G100000100050,
E100000002275,,G100000106179,33.57
E100001001444,,G100000106955,50.0
E100000003695,L100000104124,,100.0
E100000122939,L100000101515,,100.0
E100001012959,,G100001004525,100.0
E100000122872,L100000101511,,100.0
E100000125442,,G100000112761,100.0
E100000120098,L100000103162,,100.0
E100001010904,L100000100116,,100.0
E100000003319,L100000103914,,100.0
E100000122248,,G100000101910,100.0
E100001001066,,G100000107317,24.3
E100000002176,,G100000105322,11.7
E100000135010,,G100000836587,100.0
E100000121737,L100000100341,,100.0
E100001001416,,G100000106930,100.0
E100000003414,,G100000105343,20.0
E100000003319,L100000103912,,100.0
E100000133263,,G100000924951,100.0
E100000149372,,G100000918261,100.0
E100000002158,,G100000927569,100.0
E100000003018,L100000104450,,
E100000003765,L100000104285,,100.0
E100000002277,,G100000107317,21.2
E100000003639,,G100000107317,11.3
E100000179416,,G100000905132,100.0
E100000149333,,G100000917561,100.0
E100000121641,,G100000110879,100.0
E100000003413,,G100000106955,50.0
E100000000217,L100000100230,,100.0
E100000001759,L100000406470,,100.0
E100000001648,L100000104545,,100.0
E100001001444,,G100000106956,50.0
E100000003413,,G100000106956,50.0
E100000003593,L100000104035,,100.0
E100000180003,,G100000905130,84.1
E100000003296,,G100000105344,80.0
E100000003414,,G100000105344,20.0
E100001001357,,G100000105687,12.34
E100001001230,,G100000105687,22.84
E100001001336,,G100000105688,16.67
E100000002842,L100000104080,,100.0
E100000001648,L100000104544,,100.0
E100001001357,,G100000105688,12.34
E100001001230,,G100000105688,22.84
E100000002183,,G100000106179,16.43
E100000125442,,G100000112762,100.0
E100000149067,,G100000927791,100.0
E100000149162,,G100000911432,100.0
E100000001758,L100000406454,,100.0
E100001001353,L100000103864,,100.0
E100001001336,,G100000105687,16.67
E100000179352,,G100000922089,100.0
E100001001276,L100000103867,,100.0
E100000003296,,G100000105345,80.0
E100000121640,,G100000110874,100.0
E100000121640,,G100000110875,100.0
E100000121442,,G100000102271,100.0
E100000003296,,G100000105343,80.0
E100000003752,L100000104056,,100.0
E100000122415,,G100000102724,100.0
E100000149160,,G100000917386,100.0
E100000122415,,G100000102725,100.0
E100000179549,,G100000905126,15.0
E100000002449,L100000104254,,100.0
E100000003093,L100000103843,,100.0
E100000002982,,G100000909208,100.0
E100000122935,L100000101507,,100.0
E100001001309,L100000103891,,100.0
E100000002329,L100000104189,,100.0
E100000003018,L100000103340,,100.0
E100000135011,,G100000836591,100.0
E100000001763,L100000406428,,100.0
E100000179352,,G100000922088,100.0
E100000122415,,G100000102726,100.0
E100000135010,,G100000836588,100.0
E100000122415,,G100000102727,100.0
E100000149518,,G100000912496,100.0
E100000002206,L100000103810,,100.0
E100000150033,,G100000909370,100.0
E100001001056,,G100000106929,100.0
E100000002236,L100000104011,,100.0
E100001001359,L100000104255,,100.0
E100000179448,,G100000922746,70.0
E100000139374,L100000104039,,100.0
E100000004306,L100000104258,,100.0
E100000163012,L100001000086,,
E100000000007,L100000406455,,100.0
E100001001356,L100000104264,,100.0
E100000003018,L100000104669,,
E100000003621,L100000100397,,100.0
E100000002212,L100000104042,,100.0
E100000003319,L100000103917,,100.0
E100000003319,,G100000107710,48.0
E100000003414,,G100000105345,20.0
E100000002217,L100000103926,,100.0
E100000135010,,G100000836589,100.0
E100000002278,,G100000108609,20.0
E100000002217,L100000103925,,100.0
E100000123487,,G100000905446,10.0
E100000002300,L100000104040,,100.0
E100000003845,L100000103812,,100.0
E100000003294,,G100000107516,50.0
E100000002273,,G100000108609,50.0
E100000002720,,G100000108610,100.0
E100000001291,,G100000107319,42.9
E100000002298,,G100000105322,6.7
E100000004084,,G100000105322,73.3
E100001010944,L100001000092,,100.0
E100000004244,L100000103811,,100.0
