census_tract_2010_id,county_name,state_territory,percent_black_or_african_american_alone,percent_american_indian___alaska_native,percent_asian,percent_native_hawaiian_or_pacific,percent_two_or_more_races,percent_white,percent_hispanic_or_latino,percent_other_races,percent_age_under_10,percent_age_10_to_64,percent_age_over_64,total_threshold_criteria_exceeded,total_categories_exceeded,identified_as_disadvantaged_without_considering_neighbors,identified_as_disadvantaged_based_on_neighbors_and_relaxed_low_income_threshold_only,identified_as_disadvantaged,total_population,adjusted_percent_of_individuals_below_200pct_federal_poverty_line_percentile,adjusted_percent_of_individuals_below_200pct_federal_poverty_line,is_low_income,expected_agricultural_loss_rate_natural_hazards_risk_index,expected_building_loss_rate_natural_hazards_risk_index,expected_population_loss_rate_natural_hazards_risk_index,share_of_properties_at_risk_of_fire_in_30_years,energy_burden,housing_burden_percent,median_value_usd_of_owner-occupied_housing_units,share_of_the_tract's_land_area_that_is_covered_by_impervious_surface_or_cropland_as_a_percent,share_of_the_tract's_land_area_that_is_covered_by_impervious_surface_or_cropland_as_a_percent_percentile,does_the_tract_have_at_least_35_acres_in_it,current_asthma_among_adults_aged_greater_than_or_equal_to_18_years,diagnosed_diabetes_among_adults_aged_greater_than_or_equal_to_18_years,coronary_heart_disease_among_adults_aged_greater_than_or_equal_to_18_years,life_expectancy_years,unemployment_percent,percent_of_individuals_below_200pct_federal_poverty_line,percent_of_individuals_below_100pct_federal_poverty_line
6001401700,Alameda County,California,0.17,0.0,0.12,0.0,0.09,0.38,0.26,0.13,0.12,0.8,0.07,0,0.0,False,False,False,3018.0,0.26,0.11,False,0.0,0.0005,0.0,0.0,1.0,27.0,585400.0,4025.0,52.0,True,900.0,660.0,270.0,,5.0,18.0,10.0
6001401800,Alameda County,California,0.38,0.0,0.05,0.0,0.04,0.33,0.2,0.14,0.1,0.8,0.08,0,0.0,False,False,False,1801.0,0.53,0.24,False,0.0,0.0005,0.0,0.0,1.0,22.0,552300.0,7303.0,91.0,True,1090.0,960.0,390.0,77.59,6.0,34.0,18.0
6001402200,Alameda County,California,0.32,0.01,0.16,0.0,0.07,0.29,0.16,0.08,0.11,0.79,0.09,9,5.0,True,False,True,2477.0,0.76,0.39,True,0.0,0.0005,0.0,0.0,1.0,34.0,684100.0,7995.0,94.0,True,990.0,1030.0,440.0,76.59,6.0,45.0,25.0
6001402400,Alameda County,California,0.5,0.0,0.12,0.0,0.06,0.24,0.09,0.02,0.08,0.74,0.16,2,1.0,True,False,True,2866.0,0.49,0.22,False,0.0,0.0005,0.0,0.0,1.0,43.0,610800.0,7390.0,91.0,True,1030.0,1240.0,540.0,78.09,3.0,37.0,15.0
6001402500,Alameda County,California,0.59,0.0,0.13,0.0,0.08,0.1,0.14,0.06,0.17,0.72,0.09,11,7.0,True,False,True,1781.0,0.94,0.59,True,0.0,0.0005,0.0,0.0,2.0,44.0,720000.0,7096.0,89.0,True,1340.0,1510.0,580.0,,14.0,66.0,35.0
6001402600,Alameda County,California,0.25,0.0,0.38,0.0,0.06,0.14,0.16,0.04,0.05,0.68,0.25,13,7.0,True,False,True,1243.0,0.9,0.53,True,0.0,0.0005,0.0,0.0,1.0,47.0,557400.0,7306.0,91.0,True,950.0,1860.0,850.0,75.4,10.0,62.0,35.0
6001402700,Alameda County,California,0.42,0.0,0.1,0.0,0.03,0.23,0.2,0.13,0.09,0.82,0.07,0,0.0,False,True,True,1890.0,0.51,0.23,False,0.0,0.0005,0.0,0.0,1.0,24.0,673400.0,7740.0,93.0,True,1080.0,1040.0,409.0,77.5,3.0,38.0,27.0
6001402800,Alameda County,California,0.38,0.0,0.18,0.0,0.09,0.28,0.06,0.02,0.05,0.75,0.19,8,6.0,True,False,True,4480.0,0.71,0.35,True,0.0,0.0006,0.0,0.0,0.0,29.0,791200.0,9036.0,98.0,True,969.0,1370.0,630.0,76.0,8.0,45.0,29.0
6001402900,Alameda County,California,0.18,0.0,0.37,0.0,0.05,0.21,0.17,0.12,0.0,0.71,0.28,9,6.0,True,False,True,1406.0,0.69,0.34,True,0.0,0.0006,0.0,0.0,0.0,39.0,,8785.0,98.0,True,910.0,1430.0,690.0,79.59,5.0,50.0,25.0
6001403000,Alameda County,California,0.04,0.0,0.81,0.02,0.02,0.06,0.02,0.01,0.04,0.55,0.39,13,7.0,True,False,True,2905.0,0.84,0.45,True,0.0,0.0005,0.0,0.0,1.0,50.0,455400.0,9027.0,98.0,True,720.0,2380.0,1250.0,81.09,7.0,54.0,31.0
6001403100,Alameda County,California,0.17,0.0,0.38,0.0,0.04,0.27,0.13,0.04,0.05,0.82,0.12,8,6.0,True,False,True,2101.0,0.69,0.33,True,0.0,0.0005,0.0,0.0,0.0,35.0,608200.0,8584.0,97.0,True,830.0,1040.0,430.0,80.0,5.0,41.0,26.0
6001403300,Alameda County,California,0.07,0.02,0.52,0.0,0.05,0.26,0.06,0.01,0.03,0.75,0.2,8,6.0,True,False,True,4178.0,0.66,0.31,True,0.0,0.0009,0.0,0.0,0.0,31.0,503200.0,7514.0,92.0,True,819.0,1080.0,470.0,84.5,6.0,40.0,26.0
6001403400,Alameda County,California,0.19,0.0,0.25,0.0,0.06,0.39,0.08,0.04,0.04,0.74,0.21,0,0.0,False,False,False,4340.0,0.36,0.16,False,0.0061,0.0007,0.0,0.0,0.0,26.0,593200.0,2987.0,38.0,True,790.0,830.0,430.0,81.9,1.0,24.0,11.0
6001403501,Alameda County,California,0.24,0.01,0.18,0.0,0.11,0.37,0.12,0.01,0.07,0.74,0.17,7,6.0,True,False,True,4492.0,0.68,0.32,True,0.0,0.0012,0.0,0.0,1.0,40.0,664100.0,7770.0,93.0,True,919.0,1010.0,480.0,80.0,3.0,38.0,17.0
6001403502,Alameda County,California,0.25,0.0,0.12,0.0,0.1,0.42,0.11,0.03,0.03,0.83,0.13,0,0.0,False,False,False,2044.0,0.41,0.18,False,0.0,0.0006,0.0,0.0,0.0,27.0,464500.0,7501.0,92.0,True,930.0,650.0,290.0,79.4,4.0,29.0,9.0
6001403600,Alameda County,California,0.43,0.0,0.11,0.0,0.07,0.29,0.13,0.04,0.09,0.8,0.1,0,0.0,False,False,False,5570.0,0.53,0.24,False,0.0,0.0006,0.0,0.0,0.0,30.0,549000.0,7437.0,91.0,True,950.0,780.0,340.0,80.7,5.0,31.0,10.0
